rank_brand,brand,num_products_x,total_ratings,brand_weighted_score,simple_mean_product_rating,num_products_y,min_price,max_price,avg_price,std_price
34,BelaDESIGN,1,531.0,4.764884351263068,4.8,1.0,42.0,42.0,42.0,0.0
35,Glenor,4,2600.0,4.764606750607426,4.725,4.0,39.95,79.95,54.45000000000001,17.131841699011815
36,H&D,9,2284.0,4.764412737752908,4.211111111111111,3.0,8.99,12.49,11.781666666666666,1.3048568945104726
37,HAUTEROW,3,2887.0,4.764010295568358,4.733333333333333,3.0,55.99,72.99,67.24,7.632168761236871
38,Tijeyi,1,516.0,4.763919635638427,4.8,1.0,13.99,13.99,13.99,0.0
39,123Arts,1,513.0,4.763720296608804,4.8,1.0,13.99,13.99,13.99,0.0
40,Glenor Co,23,20212.0,4.763690990019977,4.721739130434782,21.0,24.95,142.95,56.01122448979592,38.82943909118511
41,OYLZ,7,2263.0,4.763442818857389,4.814285714285715,2.0,12.29,20.99,14.029999999999998,3.8907582808496337
42,Healthing,1,508.0,4.763383124644203,4.8,,,,,
43,KU-DaYi,2,546.0,4.762628526926671,4.9,1.0,13.99,13.99,13.99,0.0
44,Ripple Junction,2,860.0,4.762588247190061,4.699999999999999,1.0,21.95,21.95,21.95,0.0
45,NEX,15,17107.0,4.762009155085352,4.5,4.0,19.21,39.99,25.8,8.079335781279713
46,soclim,1,134.0,4.761586104015739,4.9,1.0,15.98,15.98,15.98,0.0
47,Exembe,4,814.0,4.761508946511492,4.8,1.0,21.99,21.99,21.99,0.0
48,Btysun,38,27714.0,4.761228276170685,4.294736842105263,30.0,10.99,17.99,13.520291262135924,0.9638226681657537
49,ALAMHI,1,462.0,4.759959595647522,4.8,1.0,15.99,15.99,15.99,0.0
50,Goporcelain,2,582.0,4.758946516950442,4.75,1.0,9.99,9.99,9.99,0.0
51,Half Moon Bay,2,884.0,4.758262968344451,4.8,,,,,
52,SWTOOL,2,453.0,4.756396382567332,4.6,1.0,8.99,8.99,8.99,0.0
53,AREOK,6,3646.0,4.755361166955378,4.766666666666667,5.0,13.75,19.75,15.987142857142857,2.3189103162789744
54,Etercycle,3,1332.0,4.755256151295424,4.7,3.0,8.99,11.99,10.99,1.2792042981336627
55,East of India,2,803.0,4.754345592201615,4.8,2.0,14.45,15.06,14.754999999999999,0.43133513652379546
56,RUIMIC,3,1765.0,4.752159097003575,4.7,3.0,11.99,16.99,14.290000000000001,1.5593520921743174
57,CHOOLD,2,627.0,4.752154548815788,4.8,2.0,5.99,9.99,7.99,2.8284271247461903
58,heart & home,1,121.0,4.749669675884643,4.9,1.0,14.98,14.98,14.98,0.0
59,Kody,2,632.0,4.749490605576392,4.8,,,,,
60,Arster,1,344.0,4.747326526894602,4.8,,,,,
61,Charmount,1,336.0,4.746175194149129,4.8,1.0,7.89,7.89,7.89,0.0
62,Shire Post Mint,2,499.0,4.745560606068152,4.85,2.0,20.0,20.0,20.0,0.0
63,The Original Shoe Tree Company,10,8092.0,4.7454684676107215,4.7,,,,,
64,YoleShy,1,331.0,4.745429698223217,4.8,1.0,17.99,17.99,17.99,0.0
65,Horsemen,1,331.0,4.745429698223217,4.8,,,,,
66,NIMSIN,1,331.0,4.745429698223217,4.8,1.0,10.95,10.95,10.949999999999998,0.0
67,The Noble Collection,8,2388.0,4.745323971255128,4.6,8.0,29.95,59.0,45.60625,14.621741089897604
68,GALLAWAY LEATHER,1,329.0,4.745125685399947,4.8,1.0,24.99,24.99,24.99,0.0
69,THE RING LEGEND,1,319.0,4.7435533554687135,4.8,1.0,39.99,39.99,39.99,0.0
70,Merhoff & Larkin,1,314.0,4.742732910054015,4.8,1.0,24.95,24.95,24.95,0.0
71,CYOIDAI,6,871.0,4.742387705348189,4.716666666666667,,,,,
72,Scwhousi,6,2312.0,4.741305702515682,4.533333333333333,1.0,14.99,14.99,14.990000000000002,0.0
73,Shakico,1,301.0,4.740483749421696,4.8,1.0,6.59,6.59,6.59,0.0
74,Tuff Toe,1,300.0,4.740303397147216,4.8,1.0,42.99,42.99,42.99,0.0
75,Biubee,2,339.0,4.738165311100945,4.75,1.0,9.99,9.99,9.99,0.0
76,Velvet Rose,4,447.0,4.738028612407158,4.55,2.0,18.99,19.99,19.656666666666666,0.5773502691896255
77,Topthink,24,6139.0,4.737981550508562,4.708333333333333,13.0,9.99,21.99,18.72076923076923,3.08135050997273
78,Kahtoola,11,4912.0,4.737846454194327,4.390909090909091,4.0,32.0,169.95,59.72115384615385,33.48477316537551
79,BUCNUO,1,284.0,4.737261532033698,4.8,1.0,11.99,11.99,11.99,0.0
80,AKOZLIN,4,1631.0,4.73646413958848,4.625,2.0,52.99,67.99,64.77571428571427,6.387229704394797
81,Holme & Hadfield,9,2273.0,4.734382092536129,4.733333333333333,7.0,34.99,149.99,76.88473684210526,33.34982048401145
82,Dczosily,4,964.0,4.733703925367075,4.525,4.0,8.99,13.99,13.341851851851853,1.494106755391307
83,MantraBand,19,1364.0,4.732121045423429,4.878947368421053,3.0,25.0,35.0,31.666666666666668,4.794633014853843
84,MONYCraft,1,255.0,4.730877617749408,4.8,1.0,12.99,12.99,12.99,0.0
85,Myjewel,11,2794.0,4.7306343396986055,4.8,,,,,
86,JOYIMARR,5,1072.0,4.730087952867562,4.7,4.0,11.99,13.99,12.878888888888888,1.0226199851298272
87,ROULER,1,246.0,4.728623627023844,4.8,,,,,
88,CERETIA,1,102.0,4.728031220140767,4.9,1.0,9.99,9.99,9.99,0.0
89,Norte Group,11,3934.0,4.727134010862764,4.745454545454546,,,,,
90,RELISSA,15,3529.0,4.727094179871285,4.680000000000001,2.0,11.97,14.97,14.839565217391305,0.6255432421712241
91,Golden Rain,1,240.0,4.727037485402152,4.8,1.0,16.99,16.99,16.99,0.0
92,ZOMAKE,10,22005.0,4.726341687441285,4.37,5.0,5.99,14.99,8.923333333333334,3.807261232859927
93,Lifomenz Co,13,2906.0,4.726247400598768,4.776923076923077,6.0,69.99,139.99,94.26285714285714,21.494966631195098
94,BIHOIB,3,600.0,4.724062832052052,4.766666666666667,3.0,10.59,16.99,13.069999999999999,2.356268236003702
95,mono living,4,714.0,4.723857553116124,4.8,3.0,12.99,16.97,16.14,1.5941769036088806
96,Omeet,2,1554.0,4.723660786332035,4.75,2.0,11.99,11.99,11.99,0.0
97,LPH LAB,1,63.0,4.723657215683668,5.0,,,,,
98,PRECOME,9,1906.0,4.723295006778765,4.777777777777778,,,,,
99,Nicetree,9,28465.0,4.721929394967167,4.677777777777778,7.0,105.99,212.49,143.865,32.3080872228611
100,CHELIZIHI,2,395.0,4.721720050060685,4.5,2.0,6.99,11.99,10.99,2.23606797749979
101,MOOKOO,7,3125.0,4.721070848647866,4.628571428571428,4.0,4.99,11.99,9.335172413793105,2.6353701565565633
102,AUKURA,3,630.0,4.720387320393846,4.7,3.0,25.99,39.99,32.25086956521739,6.988415032325407
103,Liduola,1,96.0,4.71984223062366,4.9,1.0,10.88,10.88,10.88,0.0
104,Vie jeune,2,665.0,4.719350432595944,4.699999999999999,2.0,16.99,18.99,17.549999999999997,0.9165151389911681
105,SYYSY,7,991.0,4.71862782931426,4.685714285714285,2.0,35.99,39.99,37.99,2.1908902300206643
106,Captte,3,636.0,4.718595541564385,4.8,,,,,
107,GYBest,2,1509.0,4.718389077595389,4.75,2.0,10.99,20.99,17.656666666666666,5.1639777949432215
108,BEWISHOME,39,22121.0,4.717775846361926,4.661538461538462,30.0,17.49,59.95,33.757777777777775,9.38228255693095
109,Misaya,8,9906.0,4.716821938717118,4.7125,2.0,19.99,29.99,23.32333333333333,4.83045891539648
110,OSOPOLA,1,206.0,4.716525936688903,4.8,1.0,10.99,10.99,10.99,0.0
111,RIGICASE,4,676.0,4.7157500879980585,4.725,2.0,15.99,21.99,20.49,2.7136021011998706
112,Queenberry,18,1121.0,4.714331122356015,3.822222222222222,11.0,12.98,26.98,18.424444444444443,3.4508689821588625
113,CheeseandU,4,465.0,4.714317719718977,3.7,1.0,13.99,13.99,13.99,0.0
114,Umbra,59,39877.0,4.71354650313698,4.228813559322034,14.0,10.15,76.99,35.13230769230769,25.32658339495358
115,Ankiyabe,3,339.0,4.713234120121304,4.666666666666667,1.0,14.7,14.7,14.699999999999998,0.0
116,Onlycee,3,583.0,4.712948571247085,4.666666666666667,,,,,
117,Roomganize,3,585.0,4.712444982482583,4.8,1.0,56.99,56.99,56.99,0.0
118,Lamantery,1,91.0,4.7123976946990185,4.9,1.0,9.99,9.99,9.99,0.0
119,OLAMTAI,1,188.0,4.709633582837529,4.8,1.0,22.99,22.99,22.99,0.0
120,Kaidouma,11,1913.0,4.706301606603999,4.290909090909091,1.0,11.99,11.99,11.99,0.0
121,Weiai,7,7043.0,4.7048242075457205,4.385714285714285,3.0,19.98,29.99,25.986666666666665,4.737934852513979
122,DISLIU,1,176.0,4.704369519701849,4.8,1.0,10.99,10.99,10.99,0.0
123,DYJELWD,6,1309.0,4.702304518340662,4.383333333333334,5.0,13.58,13.98,13.946666666666667,0.11547005383792519
124,omodofo,4,409.0,4.7015624675592855,4.425,1.0,16.99,16.99,16.99,0.0
125,Elevated Faith,1,170.0,4.701500605292906,4.8,1.0,19.99,19.99,19.99,0.0
126,Sweet Water Decor,9,2876.0,4.700688402464943,4.666666666666667,1.0,15.0,15.0,15.0,0.0
127,Hendson,1,168.0,4.700505661912025,4.8,1.0,8.99,8.99,8.99,0.0
128,Onederful,3,430.0,4.700085376121218,4.833333333333333,,,,,
129,Lillian Rose,7,1711.0,4.699955770150737,4.5285714285714285,3.0,14.98,20.27,17.746666666666666,2.6533814903502533
130,Magicool Hanger,1,166.0,4.699490413564189,4.8,1.0,26.99,26.99,26.99,0.0
131,BB Brotrade,1,30228.0,4.699448083847531,4.7,1.0,18.99,18.99,18.99,0.0
132,QIHOO,7,698.0,4.699111516644898,4.457142857142857,,,,,
133,ROAD iD,1,165.0,4.698974979787596,4.8,1.0,19.99,19.99,19.99,0.0
134,Homlouue,8,969.0,4.698917983015864,4.8125,7.0,6.99,14.99,13.284117647058824,2.640187159141207
135,Prazoli Products,3,472.0,4.698697010330687,4.766666666666667,3.0,22.95,29.97,27.63,4.052998889711172
136,FEMELI,3,428.0,4.698371028544923,4.466666666666667,1.0,30.98,30.98,30.98,0.0
137,The Memory Building Company,3,17818.0,4.697864230502138,4.666666666666667,2.0,24.83,30.54,26.73333333333333,3.2966700370727633
138,AISBUGUR,2,200.0,4.697440948643664,4.9,1.0,13.99,13.99,13.99,0.0
139,SIMBOOM,9,3060.0,4.696995898881859,4.666666666666667,2.0,18.99,28.99,25.99,4.83045891539648
140,OUTDOOR DOIT,2,8702.0,4.696197483349638,4.7,2.0,119.99,209.99,191.99,37.94733192202056
141,AURA LOVE YOURSELF,1,4153.0,4.696007678952566,4.7,1.0,26.99,26.99,26.99,0.0
142,Limxink,1,159.0,4.695767836288789,4.8,1.0,12.92,12.92,12.92,0.0
143,Cypress Home,1,3262.0,4.694927132763846,4.7,1.0,14.99,14.99,14.99,0.0
144,Opaprain,1,157.0,4.694653053789204,4.8,1.0,19.99,19.99,19.99,0.0
145,OwMell,2,175.0,4.694225674416019,4.9,1.0,13.88,13.88,13.88,0.0
146,Suneed,1,2858.0,4.694217493441337,4.7,1.0,16.99,16.99,16.99,0.0
147,Amitié Lane,2,3957.0,4.693983397940473,4.75,2.0,10.99,29.95,23.63,10.946561103835304
148,ILOVA,1,155.0,4.693514167884223,4.8,,,,,
149,The Tranquil Abode,1,155.0,4.693514167884223,4.8,,,,,
150,Miratino,1,2149.0,4.692335989471584,4.7,1.0,23.99,23.99,23.99,0.0
151,Gtmileo,1,152.0,4.691758906915281,4.8,1.0,36.91,36.91,36.91,0.0
152,Hossejoy,3,3109.0,4.691692200104022,4.366666666666666,1.0,28.99,28.99,28.99,0.0
153,Keebofly,13,43973.0,4.691516943101116,4.584615384615384,3.0,19.99,69.99,32.847142857142856,18.89822365046136
154,Northern Chill,1,1897.0,4.691333742116544,4.7,1.0,10.46,10.46,10.46,0.0
155,Bits and Pieces,2,2484.0,4.691285791415472,4.75,1.0,19.98,19.98,19.98,0.0
156,Mantello,9,4721.0,4.691204146674676,4.355555555555556,3.0,16.99,39.99,25.49,10.969655114602894
157,MS. CLOVER,8,15912.0,4.690574090605886,4.6875,5.0,11.88,11.99,11.968,0.04919349550499502
158,Eulalia Eclogue,6,3251.0,4.690517200468662,4.9,4.0,6.99,9.99,8.74,1.5
159,BLUTETE,7,2197.0,4.690498195324869,4.714285714285714,6.0,13.99,16.99,15.561428571428571,1.092372331636227
160,READAEER,5,9393.0,4.690485702241446,4.66,2.0,18.99,29.99,25.865,5.693040864574423
161,Rack'Em,1,1672.0,4.690188085228309,4.7,1.0,29.99,29.99,29.99,0.0
162,VERGILIUS,3,3220.0,4.689430620814966,4.566666666666666,3.0,11.99,19.99,12.561428571428573,2.1380899352993947
163,SUNBMO,2,499.0,4.688785025467343,4.75,2.0,15.89,17.89,16.490000000000002,0.966091783079296
164,Vadaka,14,1588.0,4.688233071524771,4.578571428571428,10.0,8.99,10.98,9.901,0.774517053825587
165,Furry Smile,2,517.0,4.68816286751013,4.75,2.0,29.99,29.99,29.99,0.0
166,SOLIMINTR,1,1380.0,4.688156114225944,4.7,1.0,15.99,15.99,15.99,0.0
167,WENSHUO,1,145.0,4.687429263191892,4.8,1.0,28.99,28.99,28.99,0.0
168,MODUS BAGS,1,1289.0,4.687338984881411,4.7,1.0,17.99,17.99,17.99,0.0
169,Bivisen,1,1263.0,4.687084393703466,4.7,1.0,16.99,16.99,16.99,0.0
170,Handicraftviet,6,866.0,4.686543635634208,4.3,3.0,15.99,16.99,16.823333333333334,0.4082482904638624
171,TANTO,1,1155.0,4.685907275154921,4.7,1.0,15.99,15.99,15.99,0.0
172,GREAT WORKING TOOLS,1,1153.0,4.685883449753661,4.7,1.0,28.99,28.99,28.99,0.0
173,MADAOGO,5,843.0,4.68555573250759,4.64,2.0,8.99,9.99,9.49,0.7071067811865476
174,FORFAVEOR,1,142.0,4.68546582010803,4.8,,,,,
175,AtSKnSK,1,1089.0,4.685076068863791,4.7,1.0,8.95,8.95,8.95,0.0
176,Vidillo,2,1539.0,4.685056013336935,4.5,1.0,7.97,7.97,7.97,0.0
177,Ajuny,6,4111.0,4.68503434529789,4.483333333333333,3.0,13.99,23.99,23.615,1.7915572609757242
178,Atsko,1,1060.0,4.684679010145488,4.7,1.0,16.99,16.99,16.99,0.0
179,GirlZone,1,1015.0,4.6840192546015125,4.7,,,,,
180,LANDICI,4,5141.0,4.68401235314552,4.7,4.0,17.96,39.99,23.56590909090909,8.202825099341668
181,Agantree Art,1,1008.0,4.683911484642178,4.7,1.0,15.87,15.87,15.87,0.0
182,Class of 2020 Graduation DogTag Necklace,1,75.0,4.683810676748392,4.9,1.0,14.99,14.99,14.99,0.0
183,HBlife,1,977.0,4.683416207605344,4.7,1.0,63.99,63.99,63.99,0.0
184,Disney's Raya and The Last Dragon,1,959.0,4.683114379230112,4.7,1.0,10.33,10.33,10.33,0.0
185,Fiecco,1,959.0,4.683114379230112,4.7,1.0,8.58,8.58,8.58,0.0
186,Ekero,3,3558.0,4.68299240094069,4.6000000000000005,1.0,21.99,21.99,21.99,0.0
187,Tryuunion,1,138.0,4.682738815824887,4.8,1.0,34.95,34.95,34.95,0.0
188,ABI + OLIE,2,1793.0,4.6821631562017885,4.7,1.0,29.99,29.99,29.99,0.0
189,Timetrace,8,519.0,4.681999893890423,4.8375,6.0,21.99,55.99,31.632857142857144,9.58851189911972
190,Flytianmy,1,895.0,4.681946076820088,4.7,1.0,32.99,32.99,32.99,0.0
191,Quany Life,9,1606.0,4.681828010672994,4.577777777777778,6.0,11.99,15.99,14.323333333333332,1.8618986725025257
192,Bielebbi,2,1764.0,4.681688732226223,4.7,,,,,
193,GSLSTGS,2,3468.0,4.68081903202417,4.65,2.0,9.99,11.99,11.374615384615385,0.960768922830524
194,GraduationRoyal,2,1673.0,4.680754703508456,4.7,2.0,7.99,7.99,7.99,0.0
195,VERRE ESPRIT,1,805.0,4.680000144980337,4.7,1.0,9.99,9.99,9.99,0.0
196,ZOX,12,4745.0,4.679760777118604,4.733333333333333,9.0,11.95,11.95,11.95,0.0
197,duke trays,1,782.0,4.679433646623869,4.7,1.0,32.99,32.99,32.99,0.0
198,Love-KANKEI,4,13577.0,4.6794223474749215,4.55,3.0,15.99,17.99,16.56142857142857,0.9376144618769898
199,DIJA,2,1559.0,4.679370131320301,4.7,,,,,
200,JoycuFF,364,166334.0,4.67919287438571,4.507967032967033,134.0,5.9,19.97,13.647839831401477,2.4392679907473522
201,USANGERS,1,133.0,4.67914184698516,4.8,1.0,14.99,14.99,14.99,0.0
202,BESTTERN,36,34603.0,4.6789888398939885,4.591666666666667,,,,,
203,Wingchold,2,1514.0,4.678970526453973,4.7,2.0,8.99,8.99,8.99,0.0
204,Stock Your Home,5,7258.0,4.678951366584247,4.68,3.0,18.99,31.99,24.323333333333334,6.377042156569664
205,aircover,1,762.0,4.678914294265886,4.7,1.0,16.99,16.99,16.99,0.0
206,UOOOM,2,1449.0,4.678870072980442,4.7,2.0,13.99,25.99,16.39,5.366563145999494
207,QMDECOR,1,744.0,4.678423929016256,4.7,1.0,28.0,28.0,28.0,0.0
208,Saltwater Blue,1,728.0,4.677968497438761,4.7,1.0,14.97,14.97,14.97,0.0
209,Taigr,1,726.0,4.677910213040451,4.7,,,,,
210,misaya,10,6876.0,4.67789917647003,4.65,3.0,8.99,26.99,22.578235294117647,6.633803806352465
211,CARAKNOTS,2,416.0,4.677851148797823,4.75,2.0,14.95,16.99,15.969999999999999,1.053451470168417
212,Kratrun,2,262.0,4.677640503469448,4.8,,,,,
213,WE Games,3,1550.0,4.677522095361592,4.266666666666667,1.0,35.99,35.99,35.99,0.0
214,Dudley's,1,706.0,4.677309947090464,4.7,1.0,14.85,14.85,14.85,0.0
215,LiveStrong,1,702.0,4.677185957730303,4.7,1.0,9.94,9.94,9.94,0.0
216,Boxzie,1,701.0,4.677154748370152,4.7,1.0,52.95,52.95,52.95,0.0
217,Crosfen,1,691.0,4.676837893285133,4.7,1.0,9.99,9.99,9.99,0.0
218,Lion Latch,3,635.0,4.676678549017064,4.7,1.0,36.95,36.95,36.95,0.0
219,Siveit,4,1755.0,4.676659412278957,4.375,1.0,16.77,16.77,16.77,0.0
220,BootJack and Jill,2,667.0,4.676554635222196,4.65,1.0,22.95,22.95,22.95,0.0
221,Anleo,1,674.0,4.676278581049121,4.7,1.0,11.65,11.65,11.65,0.0
222,KGBNCIE,28,16379.0,4.6762255145195954,4.525,6.0,11.98,16.98,14.666746987951809,1.6016585218360648
223,ASELFAD,5,3381.0,4.67600681936543,4.34,1.0,14.99,14.99,14.99,0.0
224,COOYUY,4,1829.0,4.67590913601348,4.7,1.0,23.99,23.99,23.99,0.0
225,MRMOSY,1,656.0,4.67565615314662,4.7,1.0,23.99,23.99,23.99,0.0
226,RMTEB,1,651.0,4.675477417119796,4.7,1.0,26.99,26.99,26.99,0.0
227,ANIKAY,3,1946.0,4.675393936231495,4.7,1.0,8.99,8.99,8.99,0.0
228,K9King,1,630.0,4.674697153119062,4.7,1.0,6.99,6.99,6.99,0.0
229,Gaolinci,1,629.0,4.674658757296785,4.7,1.0,12.99,12.99,12.99,0.0
230,Aizza Beata,6,509.0,4.674469205127232,4.816666666666667,5.0,6.49,10.99,7.609999999999999,1.903155274800246
231,muchly,2,247.0,4.67445022702002,4.1,1.0,25.77,25.77,25.77,0.0
232,ALLER HOME&KITCHEN,1,613.0,4.67402818205067,4.7,,,,,
233,Marble Wolf,1,612.0,4.673987727505578,4.7,1.0,14.99,14.99,14.99,0.0
234,Main Street Forge,1,609.0,4.673865604160534,4.7,1.0,39.99,39.99,39.99,0.0
235,Crystals for Intent,1,126.0,4.673718724734495,4.8,1.0,24.0,24.0,24.0,0.0
236,VILIGHT,14,1324.0,4.673367916978024,4.757142857142857,2.0,12.97,16.97,14.969999999999999,2.828427124746188
237,AsherKeep,1,590.0,4.673064711384808,4.7,1.0,14.97,14.97,14.97,0.0
238,VINCOMIC,6,846.0,4.673007173189214,4.75,6.0,9.99,14.99,12.565757575757576,1.3235913037618292
239,Simmer Stone,11,2329.0,4.672808801559392,4.509090909090909,,,,,
240,Airmoon,1,578.0,4.672533093846352,4.7,1.0,9.99,9.99,9.99,0.0
241,Mocolo,7,8893.0,4.67231547858612,4.628571428571428,2.0,13.99,16.99,15.49,1.6431676725154976
242,Nzztont,6,2027.0,4.672275773584552,4.683333333333334,6.0,4.99,9.99,7.11969696969697,1.1577874503996968
243,PiQi-Grecge,1,572.0,4.672259337306613,4.7,1.0,28.99,28.99,28.99,0.0
244,BigPig,1,124.0,4.672078708172605,4.8,,,,,
245,Doctor Who,2,626.0,4.672036146017846,4.6,,,,,
246,Gurfuy,1,566.0,4.671980068890237,4.7,1.0,18.89,18.89,18.89,0.0
247,Baitaihem,1,565.0,4.671932976569044,4.7,1.0,11.49,11.49,11.49,0.0
248,Velette,4,65457.0,4.671411954285019,4.575,4.0,8.83,15.94,14.13,3.0382807638531366
249,PACMAXI,22,9510.0,4.671384591002567,4.55,9.0,9.99,29.9,13.352115384615384,5.253545333835109
250,Heetly,1,123.0,4.671242621297916,4.8,,,,,
251,COLLECTIVE HOME,5,709.0,4.670775612380025,4.68,5.0,6.99,13.99,12.28032258064516,2.036230969006164
252,CASE ELEGANCE,20,15622.0,4.670104266440808,4.51,12.0,29.99,144.99,58.20857142857143,32.93725569470555
253,Oskas,1,523.0,4.669801303903402,4.7,1.0,7.95,7.95,7.95,0.0
254,ANOTION,3,393.0,4.669746613037515,4.7,2.0,9.99,11.99,10.132857142857144,0.5345224838248488
255,Betoores,1,522.0,4.669746596120619,4.7,1.0,17.99,17.99,17.99,0.0
256,PinkSheep,2,603.0,4.669435044513561,4.6,1.0,11.99,11.99,11.99,0.0
257,NISHEL,2,910.0,4.669226409488972,4.7,2.0,15.99,16.99,16.704285714285714,0.4879500364742647
258,vedett,1,120.0,4.6686674737238745,4.8,,,,,
259,EZDC,1,498.0,4.668371441398828,4.7,1.0,12.99,12.99,12.99,0.0
260,OUTSHINE,3,1655.0,4.668155477156401,4.633333333333333,1.0,39.99,39.99,39.99,0.0
261,Breyer,1,484.0,4.667509963148991,4.7,,,,,
262,MONSTINA,1,483.0,4.667446629743823,4.7,1.0,11.99,11.99,11.99,0.0
263,HofferRuffer,10,2489.0,4.666956836014267,4.62,4.0,17.9,35.9,20.268421052631577,5.7077970679081655
264,Homde,48,26668.0,4.666167657959422,4.658333333333333,23.0,15.19,78.99,38.968378378378375,14.605385900321062
265,SAM & LORI,22,16168.0,4.664818357148068,4.377272727272727,8.0,11.97,14.97,13.635526315789473,1.0985206958898162
266,MXARLTR,3,2033.0,4.6645141907552645,4.666666666666667,2.0,16.99,17.99,17.49,0.5773502691896263
267,LIANTRAL,6,1876.0,4.664320807636584,4.4,1.0,19.99,19.99,19.99,0.0
268,Busy Gaming Life,1,115.0,4.6641387659212485,4.8,1.0,11.88,11.88,11.88,0.0
269,Real Sic,1,115.0,4.6641387659212485,4.8,1.0,9.95,9.95,9.95,0.0
270,GS-JJ,2,120.0,4.663645927370343,4.9,,,,,
271,ARIAT,5,8673.0,4.663376888291039,4.46,3.0,19.99,31.95,27.646666666666665,6.6478593045681516
272,ASEWIHA,2,181.0,4.663252941093089,4.65,1.0,14.98,14.98,14.98,0.0
273,MDFAYE,1,114.0,4.663195285129036,4.8,1.0,14.38,14.38,14.38,0.0
274,Funkillee,1,114.0,4.663195285129036,4.8,1.0,19.99,19.99,19.99,0.0
275,TONOS,2,203.0,4.663112216288074,4.8,2.0,7.99,11.99,9.323333333333332,2.3094010767585034
276,YYQX,1,422.0,4.663053365173853,4.7,1.0,13.99,13.99,13.99,0.0
277,Ditucu,4,1678.0,4.6628479138686085,4.7,,,,,
278,LILY TREACY,8,7691.0,4.662460303921169,4.3375,6.0,7.99,12.99,9.323333333333332,1.414213562373095
279,NUYKOUY,1,414.0,4.6623876600418495,4.7,1.0,11.88,11.88,11.88,0.0
280,ATAIMEISEN,3,1347.0,4.661908664176336,4.633333333333334,3.0,15.99,39.99,26.878888888888888,8.550503558920441
281,Swanky Badger,1,408.0,4.661872422508176,4.7,1.0,34.99,34.99,34.99,0.0
