rank,manufacturer,num_products,total_ratings,manufacturer_weighted_score,simple_mean_product_rating
81,Etercycle,2,827.0,4.749381848697163,4.65
82,Cheopz,5,2021.0,4.749029088583222,4.76
83,Indiana Metal Craft,1,354.0,4.7472957158809015,4.8
84,MGStyle,2,603.0,4.74709225329007,4.55
85,Arster,1,344.0,4.745886510423172,4.8
86,MANBU Jewerly,1,338.0,4.745004225267028,4.8
87,Biubee,1,334.0,4.744399876094137,4.8
88,Onyxh LLC,1,331.0,4.743937825202954,4.8
89,YoleShy,1,331.0,4.743937825202954,4.8
90,Gallaway Leather,1,329.0,4.743625501109377,4.8
91,AMERIHOMESTORE,1,326.0,4.74315043510749,4.8
92,RNGBRR,1,319.0,4.742010185954918,4.8
93,Aukura,1,319.0,4.742010185954918,4.8
94,"Dongguan Shengfengyu Industrial Co., Ltd.",1,316.0,4.741507384099036,4.8
95,Glenor,4,2638.0,4.7409943082112225,4.675
96,SmartChoice,4,1321.0,4.740873274867369,3.65
97,Amazinga,1,309.0,4.7402995719712875,4.8
98,AKOZLIN,3,1619.0,4.739714623013593,4.733333333333333
99,PUDDING CABIN,6,961.0,4.738696816296355,4.383333333333334
100,Wentur,4,1569.0,4.7382519422613845,4.775
101,Eagle Crest,6,1615.0,4.7371152828362755,3.85
102,CONNOISSEURS,2,492.0,4.736673985165726,4.699999999999999
103,BLU,2,742.0,4.736332963201747,4.75
104,Holme & Hadfield,6,2261.0,4.735867476871674,4.716666666666667
105,BUCNUO,1,284.0,4.735546353179192,4.8
106,Trinket Tray,3,952.0,4.735106616139514,4.2
107,Velvet Rose,4,447.0,4.735059548290462,4.55
108,Topthink,22,5966.0,4.73473352710044,4.663636363636363
109,Dczosily,4,964.0,4.732333868375838,4.525
110,TheAmazingGift,1,269.0,4.732312892636341,4.8
111,ZILEFSILK,1,269.0,4.732312892636341,4.8
112,AUTOARK,10,8281.0,4.7315093771505,4.33
113,SIMBOOM,2,513.0,4.731447105018717,4.699999999999999
114,Nazareth Store,22,17066.0,4.730700966137271,4.2318181818181815
115,Star Wars Jewelry,3,587.0,4.729289743536496,4.066666666666666
116,Norya,7,2912.0,4.728957825903713,4.514285714285714
117,icb global,1,246.0,4.726672300356037,4.8
118,kody,3,648.0,4.725645182001037,4.3
119,RIGICASE,2,477.0,4.72511368356222,4.8
120,Golden Rain,1,240.0,4.725042795919505,4.8
121,Dletay,11,6894.0,4.724331147550664,4.709090909090909
122,CERETIA,1,102.0,4.723951173471715,4.9
123,Omeet,2,1554.0,4.722993556571919,4.75
124,MOOKOO,6,2315.0,4.722786391692308,4.433333333333333
125,BIHOIB,3,600.0,4.722268838599374,4.766666666666667
126,Norte Group,12,4139.0,4.721083169703905,4.741666666666666
127,Mantello,5,4412.0,4.720860570572201,4.4
128,Kahtoola,15,5123.0,4.720331054556118,4.206666666666667
129,Myjewel,10,2319.0,4.719962890716904,4.7299999999999995
130,BEWISHOME,33,21983.0,4.719951599387947,4.660606060606061
131,CHELIZIHI,2,395.0,4.719912204909324,4.5
132,Weiai,5,1786.0,4.719498274604675,4.64
133,COOTRUKER,2,295.0,4.718754080006482,4.9
134,Vie jeune,2,665.0,4.717934913822184,4.699999999999999
135,SYYSY,7,991.0,4.716910438159074,4.685714285714285
136,Lifomenz Co,13,2682.0,4.715379741839881,4.769230769230769
137,Precious Feet,1,209.0,4.715320313381867,4.8
138,OSOPOLA,1,206.0,4.7142438766875685,4.8
139,ANOTION,2,320.0,4.713777570444415,4.75
140,JYGEM00036,1,203.0,4.713139720593418,4.8
141,Quany Life,5,1378.0,4.712632581766297,4.7
142,Flyow,1,201.0,4.712387683542278,4.8
143,Ganz,17,468.0,4.711548983717327,4.641176470588236
144,Umbra,79,39558.0,4.71096874977945,4.177215189873418
145,SJ,48,2949.0,4.710824375870762,4.40625
146,Roomganize,3,585.0,4.710051355103406,4.8
147,Nicetree,10,30227.0,4.708490535021541,4.66
148,Samanter,1,91.0,4.707946734696416,4.9
149,Wonmon,4,2257.0,4.704338321594945,4.7
150,Prime Art & Jewel,2,256.0,4.7027686583523955,4.75
151,zhaoqingguo,5,620.0,4.702431887956237,4.720000000000001
152,Monogram,2,301.0,4.701657350271124,4.75
153,Sweet Water Decor,3,1142.0,4.700980048647648,4.766666666666667
154,Gnz,3,214.0,4.70086841445658,4.933333333333334
155,Jutoe,2,220.0,4.700154254777599,4.65
156,KimYoung,5,1228.0,4.6994455431023106,4.7
157,BB Brotrade,1,30228.0,4.69943028471473,4.7
158,The Memory Building Company,2,17807.0,4.698070824971774,4.7
159,Hendson,1,168.0,4.697785630799324,4.8
160,New Shining Image,2,1176.0,4.697520357234055,4.6
161,HOPE LOVE SHINE,9,2226.0,4.697481645702118,4.711111111111111
162,Shacke,2,12057.0,4.697339079047811,4.7
163,Chunze,1,5423.0,4.696838722702782,4.7
164,ARIAT ACCESSORIES,1,5264.0,4.696743776898048,4.7
165,Magicool Hanger,1,166.0,4.696742627031971,4.8
166,STA-AA,1,166.0,4.696742627031971,4.8
167,READAEER,2,8944.0,4.696180703834935,4.7
168,FEMELI,3,428.0,4.6961542586354605,4.466666666666667
169,Prazoli Products,3,472.0,4.696098622023432,4.766666666666667
170,OUTDOOR DOIT,2,8702.0,4.696074853311474,4.7
171,Handicraftviet,6,1096.0,4.696039852611134,4.383333333333333
172,wfwty,1,4110.0,4.695836124371562,4.7
173,Lemoo,2,509.0,4.695679686533018,4.699999999999999
174,Mayflower Products,1,3491.0,4.6951041053389,4.7
175,4ocean,8,27810.0,4.695083510078363,4.7
176,cottvott,2,4740.0,4.694795726875626,4.75
177,"Evergreen Enterprises, Inc.",1,3262.0,4.694763534294735,4.7
178,Aimber,1,3184.0,4.694636451430699,4.7
179,AISBUGUR,2,200.0,4.694600927599511,4.9
180,Car Guardiance,1,3128.0,4.694541341006418,4.7
181,YYTech,2,311.0,4.694194835796706,4.65
182,Suneed,1,2858.0,4.694031009313804,4.7
183,FIEBING'S,1,2791.0,4.693889243140116,4.7
184,Kre8tive Enterprises Pty Ltd,2,3957.0,4.693771398781396,4.75
185,YMHOETS,6,1011.0,4.693342474121487,4.816666666666666
186,ADTL,18,3276.0,4.6933140189787315,4.322222222222222
187,Hossejoy,2,3098.0,4.693094405796514,4.3
188,Guangyang,3,4586.0,4.6927650250658095,4.733333333333333
189,Interway Trading,25,5518.0,4.692548750270693,4.324
190,Siveit,2,4422.0,4.69231342412186,4.7
191,Miratino,1,2149.0,4.692088827397093,4.7
192,YallFF,1,2023.0,4.691603290257315,4.7
193,Onlycee,4,650.0,4.691535410455459,4.675
194,W. J. Hagerty,1,1897.0,4.691054257861062,4.7
195,Melville Direct,2,2484.0,4.6909048917424485,4.75
196,ILOVA,1,155.0,4.690602999450088,4.8
197,The Tranquil Abode,1,155.0,4.690602999450088,4.8
198,BIGTONE,2,783.0,4.690594667934253,4.65
199,Timetrace,5,505.0,4.690433935538834,4.779999999999999
200,Keebofly,12,34337.0,4.690297014916286,4.608333333333333
201,Ikooo,1,1698.0,4.690024047973534,4.7
202,bestwishes,3,3920.0,4.689985005165656,4.7
203,Sara Lee Household and Beverage,1,1656.0,4.689775536713088,4.7
204,VERGILIUS,2,3216.0,4.689767223287534,4.7
205,DREMINOVA,1,1629.0,4.689609134959775,4.7
206,Wonderful Jewerly,1,1600.0,4.689424266808753,4.7
207,Foreverlove Memorial Jewelry,18,3456.0,4.689219357590344,4.438888888888889
208,Begabeauty,13,14399.0,4.689139608579047,4.707692307692308
209,The Dustpan and Brush Store,1,1538.0,4.689006093685119,4.7
210,Vidillo,1,1526.0,4.688921307775235,4.7
211,Gtmileo,1,152.0,4.6887997521882765,4.8
212,muso wood,1,1470.0,4.688507703265511,4.7
213,WAFUNNE,1,1386.0,4.687825956849058,4.7
214,SOLIMINTR,1,1380.0,4.6877741524101175,4.7
215,JaneDream,1,1349.0,4.687499314647039,4.7
216,ZEESHY,1,1331.0,4.687333985964927,4.7
217,Two's Company,7,884.0,4.687291607662904,4.542857142857143
218,Monpearl,2,3314.0,4.686965281836374,4.550000000000001
219,"Wood Expressions, Inc.",2,1530.0,4.68694200603276,4.6
220,MODUS BAGS,1,1289.0,4.6869306708857215,4.7
221,UOOOM,1,1270.0,4.686739657614051,4.7
222,Bivisen,1,1263.0,4.68666786921753,4.7
223,Eulalia Eclogue,8,4354.0,4.68659003860734,4.85
224,HOD LLC,17,32621.0,4.686319352602563,4.641176470588236
225,Furry Smile,2,517.0,4.686296197088034,4.75
226,KLYJI,2,1841.0,4.686163588707745,4.449999999999999
227,fit Pandorä Christmas birthday mothers wife womens jewelry,1,1207.0,4.686064312771436,4.7
228,Beiyang,34,74376.0,4.685704458272432,4.617647058823529
229,seensea,3,2748.0,4.685696451710385,4.633333333333334
230,TANTO,1,1155.0,4.685452788943685,4.7
231,GREAT WORKING TOOLS,1,1153.0,4.685428195180275,4.7
232,Veeshy,2,2255.0,4.685115858328595,4.7
233,Herstar,2,301.0,4.684741188972029,4.75
234,Ajuny,6,4111.0,4.684627771439491,4.483333333333333
235,southkingze,1,1089.0,4.684594776495323,4.7
236,wonmon,1,1081.0,4.684483847793219,4.7
237,WENSHUO,1,145.0,4.684351742275807,4.8
238,Oyydeco,3,3033.0,4.684171324732833,4.7
239,Mikspress,5,354.0,4.6841579643027105,4.84
240,ABI + OLIE,3,3138.0,4.684106058902004,4.7
241,Bamber,1,1037.0,4.683844006465105,4.7
242,Lemonadeus,5,5057.0,4.683697597647955,4.5200000000000005
243,LANDICI,4,5141.0,4.683624143238454,4.7
244,DLXK,3,479.0,4.683416459812091,4.766666666666667
245,Agantree Art,1,1008.0,4.68339263477675,4.7
246,Oneourposegifts,1,989.0,4.68308297831037,4.7
247,BLUTETE,2,238.0,4.683011665881638,4.699999999999999
248,OluKai,1,984.0,4.682999561043655,4.7
249,The Brannock Device Company,2,1967.0,4.682991189328207,4.7
250,HBlife,1,977.0,4.682881385201854,4.7
251,NOREGRET,6,540.0,4.6826692433789585,4.366666666666666
252,Ekero,3,3558.0,4.682587087202487,4.6000000000000005
253,Fiecco,1,959.0,4.682569822950724,4.7
254,RugbyCuff_6,1,142.0,4.682334621501548,4.8
255,WB-Grey-32,1,142.0,4.682334621501548,4.8
256,RugbyCuff_1,1,142.0,4.682334621501548,4.8
257,RugbyCuff_3,1,142.0,4.682334621501548,4.8
258,RugbyCuff_5,1,142.0,4.682334621501548,4.8
259,RugbyCuff_2,1,142.0,4.682334621501548,4.8
260,CASE ELEGANCE,17,15195.0,4.681833844293828,4.570588235294117
261,LETLLC,9,6595.0,4.6814471334990495,4.522222222222222
262,Bielebbi,2,1764.0,4.6810981992523,4.7
263,GYBest,1,882.0,4.68109819616038,4.7
264,LEIFAN JEWELRY,2,1045.0,4.681026080124076,4.6
265,Begabeaty,2,5313.0,4.680889772460474,4.45
266,Fanice Eos,1,76.0,4.680769385832701,4.9
267,pocpockets,1,861.0,4.680652699100187,4.7
268,EYONGLION,1,139.0,4.68024588697199,4.8
269,Movdyka,1,139.0,4.68024588697199,4.8
270,Outshine,2,1542.0,4.679603728595767,4.65
271,OSNIE,1,138.0,4.679533064870633,4.8
272,HanlinCC,8,4341.0,4.679442839877645,4.675
273,BLACKLIST,1,808.0,4.679429063124424,4.7
274,VERRE ESPIRIT,1,805.0,4.679355155566786,4.7
275,Moifom,2,1050.0,4.679211292504724,4.800000000000001
276,Shubee,1,785.0,4.678848533617504,4.7
277,KANKEI,5,13585.0,4.67883844270353,4.279999999999999
278,Shop VIG,2,1559.0,4.678704824152411,4.7
279,Stock Your Home,5,7258.0,4.678590768623124,4.68
280,MJ METALS JEWELRY,7,6606.0,4.678529436709381,4.428571428571429
281,Duohuayi,2,1514.0,4.678292332147246,4.7
282,aircover,1,762.0,4.678234286487711,4.7
283,GNX3410@SKU,1,753.0,4.677984105872627,4.7
284,Implus Footcare,2,1821.0,4.677810991520593,3.9000000000000004
285,Aizza Beata,7,1411.0,4.6777898666518265,4.8
286,QMDECOR,1,744.0,4.677728107103704,4.7
287,Distance,8,4314.0,4.67758142283771,4.6875
288,Saltwater Blue,1,728.0,4.677257987992435,4.7
289,OuWenOffice,1,726.0,4.677197823939506,4.7
290,SOUKISS fits Pandora Charms Bracelet,1,726.0,4.677197823939506,4.7
291,XiaMenShiJiMeiQuHuaKunShaoRiYongPinDian,2,245.0,4.676935398201392,4.75
292,"McVan, Inc.",6,400.0,4.6766273401811675,4.6000000000000005
293,"PerfumeWorldWide, Inc. Drop Ship",1,706.0,4.676578199590036,4.7
294,Pure Ponta,1,701.0,4.676417995756863,4.7
295,Otter Wax,1,691.0,4.676090922188996,4.7
296,Shenzhen Weite Shijia Technology Co,1,691.0,4.676090922188996,4.7
297,ZOMAKE,31,40317.0,4.675944827195313,4.487096774193549
298,GSLSTGS,3,3545.0,4.675882136828778,4.633333333333333
299,ZAKI,1,683.0,4.675822657641327,4.7
300,SOUKISS Fits Pandora Charms Bracelet,2,1452.0,4.675702361260296,4.3
301,Cremation Necklace,12,3576.0,4.67529306662393,4.4750000000000005
302,Branding The West,2,667.0,4.675101041006163,4.65
303,VUTADA,1,661.0,4.67505290144467,4.7
304,Merhoff & Larkin,2,370.0,4.675032342357537,4.6
305,MRMOSY,1,656.0,4.674871071280272,4.7
306,Lion Latch,3,635.0,4.674768958670541,4.7
307,GraduationRoyal,3,1924.0,4.674722568210533,4.7
308,RMTEB,1,651.0,4.674686571069407,4.7
309,NNHOM,1,649.0,4.67461201015945,4.7
310,ANIKAY,3,1946.0,4.674600397947131,4.7
311,Jincheng,7,2435.0,4.674431322596691,4.685714285714285
312,Petallo,1,644.0,4.674423671955886,4.7
313,Kratrun,4,524.0,4.674295372038921,4.8
314,by CRISNATA fits Pandora Charm Birthday Bracelet,2,784.0,4.674022412009827,4.75
315,ErgonflowTinsley,1,632.0,4.6739600527164145,4.7
316,Green Supply,1,632.0,4.6739600527164145,4.7
317,MOLAONE,2,254.0,4.673952216696981,4.8
318,Burning Love,26,3647.0,4.6739091077201955,4.711538461538462
319,K9King,1,630.0,4.673881143785252,4.7
320,Songmics,49,34067.0,4.673829119559868,4.373469387755102
321,FARBLAZING,1,130.0,4.673509718114165,4.8
322,Marble Wolf,1,612.0,4.673148839405399,4.7
323,Main Street Forge,1,609.0,4.67302277761857,4.7
324,LIANTRAL,4,1769.0,4.672965115181299,4.525
325,Avamie,11,1885.0,4.672672071444087,4.5181818181818185
326,By ZIYOU Jewelry fits Pandora Ocean Bracelet,1,597.0,4.67250646714237,4.7
327,aetrio,2,679.0,4.672497609599648,4.550000000000001
328,Minuteman International - ACHLA Designs,1,592.0,4.672285458035799,4.7
329,AsherKeep,1,590.0,4.672196056287526,4.7
330,COOYUY,3,1726.0,4.672021464655792,4.633333333333333
331,Mocolo,7,8893.0,4.67193135512146,4.628571428571428
332,By GEMDAZZ Jewelry Fit Pandora Travel Bracelet,1,128.0,4.6719085753054825,4.8
333,beffy,3,3484.0,4.671884288779562,4.633333333333334
334,Airmoon,1,578.0,4.671647294240571,4.7
335,Milcraft|KOOBOOK,1,577.0,4.6716005846758915,4.7
336,Constanlife Jewelry,7,1884.0,4.671489989956131,4.8
337,PiQi-Grecge,1,572.0,4.671364709133333,4.7
338,Underground Toys,2,626.0,4.671354963300016,4.85
339,"Shenzhen Dihepeng Co.,Ltd",8,3281.0,4.6711244822689055,4.525
340,Baitaihem,1,565.0,4.671027823358431,4.7
341,ELIUNG,2,138.0,4.6708637854999875,4.9
342,Lilly Pulitzer,9,2185.0,4.670663245217123,4.822222222222222
343,MORIRENV,3,736.0,4.670557959778327,4.766666666666667
344,Crystals for Intent,1,126.0,4.67026637755299,4.8
345,KAMIER,8,2335.0,4.670245764580654,4.675
346,"GNX8858@SKU 18""",1,549.0,4.670227210532412,4.7
347,Beautiful Bereavement,1,549.0,4.670227210532412,4.7
348,Fashionfamily,1,545.0,4.6700200954752455,4.7
349,Ruby Mae,1,541.0,4.669810078630939,4.7
350,ROYI,1,532.0,4.669326610139264,4.7
351,MEEJOA,1,531.0,4.669271933865003,4.7
352,Jack Cube,11,11789.0,4.669053023205271,4.536363636363636
353,BLOVIN JEWELRY,4,4261.0,4.669047267802975,4.675
354,Mamfous,2,655.0,4.669035262196131,4.800000000000001
355,onederful,7,919.0,4.668995210102403,4.8
356,SIMMER STONE,12,2342.0,4.668853903852125,4.508333333333334
357,Betoores,1,522.0,4.668770932786715,4.7
358,COLLECTIVE HOME,5,709.0,4.6686320146015445,4.68
359,"JC Walsh & Sons, LTD.",1,124.0,4.668581525313417,4.8
360,Tabata USA -- Dropship,1,124.0,4.668581525313417,4.8
361,xyd-direct,1,517.0,4.668485475133942,4.7
362,FUHONG-JEWELRY,1,514.0,4.668311681798284,4.7
363,NISHEL,2,910.0,4.668233970289936,4.7
364,LUXFURNI,3,2780.0,4.6681991267008165,4.633333333333333
365,WestEndWarehouse,4,1748.0,4.66815485679135,4.575
366,Rowling,3,609.0,4.667933584235275,4.733333333333333
367,grady,1,505.0,4.667778607286479,4.7
368,SOXDirect,1,123.0,4.66772258103442,4.8
369,OnePurposeGifts,13,2181.0,4.6675594274029,4.7384615384615385
370,"Sykel Enterprises, Inc.",1,501.0,4.667535884930822,4.7
371,EZDC,1,498.0,4.667351429731566,4.7
372,Live2Pedal,17,392.0,4.667279162412031,4.835294117647059
373,Valuejewelry,1,490.0,4.666849144035127,4.7
374,VILIGHT,12,1056.0,4.666762043681071,4.75
375,Pdouself,6,657.0,4.666720407896534,4.6499999999999995
376,Amoybester,1,485.0,4.666527291064595,4.7
377,Masonicbuy,1,483.0,4.666396793174009,4.7
378,Chiclove,4,1931.0,4.666270342391106,4.625
379,badu,1,480.0,4.666199127251502,4.7
380,charm-starfish-eg0616-5-13a,1,121.0,4.665970562240174,4.8
381,FY Posture,1,121.0,4.665970562240174,4.8
382,Hedi,5,1224.0,4.665836005441891,4.4399999999999995
383,Tubibu,2,507.0,4.665731348837896,4.6
384,Lparkin,1,473.0,4.665728737372299,4.7
385,IRISVO,1,464.0,4.665104362142239,4.7
386,vedett,1,120.0,4.665077032655109,4.8
387,IEFSHINY,4,1850.0,4.664998139514974,4.7
388,Dannyshi,16,6518.0,4.664572711503905,4.54375
389,pugest,2,1517.0,4.664428720751917,4.45
390,MONSTINA,2,485.0,4.664391233575645,4.85
391,urnseller,1,452.0,4.664235591075242,4.7
392,ForeverQueen fit pandora charm,2,877.0,4.6641795341356085,4.7
393,MXARLTR,3,2033.0,4.663763111029712,4.666666666666667
394,The Carefree Bee,1,445.0,4.663708536627929,4.7
395,Armear,1,445.0,4.663708536627929,4.7
396,Hoteam,2,200.0,4.663249817109314,4.2
397,Meetcute,1,439.0,4.663244253514427,4.7
398,zhaosang-17,1,438.0,4.6631657155945865,4.7
399,Of Earth and Ocean,8,1515.0,4.662985539787238,4.7875
400,Aoran,9,2628.0,4.662978735589484,4.044444444444444
401,weikui jewelry,13,1281.0,4.662893612802052,4.653846153846154
402,GEMMANCE,9,2870.0,4.662354638207383,4.566666666666666
403,Bico,9,529.0,4.662272763154538,4.877777777777777
404,VEE&CO.,5,1111.0,4.662226960205534,4.1
405,JW,4,254.0,4.662058381664733,4.6
406,YYQX,1,422.0,4.661861847120059,4.7
407,AOLOSHOW,11,911.0,4.661745216190045,3.8909090909090907
408,heart & home,2,150.0,4.661696553536298,4.7
409,Velvet Ring Box,3,1217.0,4.661456719344739,4.7
410,NUYKOUY BCLP-A,1,414.0,4.661174673194294,4.7
411,TMB Innovations,1,414.0,4.661174673194294,4.7
412,NatuBeau,2,314.0,4.660988844940881,4.75
413,ATAIMEISEN,3,1347.0,4.660884585334179,4.633333333333334
414,Pacmaxi,6,6180.0,4.660786645923537,4.6
415,MallDou ashes necklace,1,406.0,4.660462281876757,4.7
416,Stickeroonie,7,521.0,4.660448894431463,4.828571428571428
417,Busy Gaming Life,1,115.0,4.660424516539768,4.8
418,InGooooD,1,402.0,4.6600961918941355,4.7
419,TORIBIO,1,401.0,4.66000360765259,4.7
420,Mini Wim,2,167.0,4.65973256133437,4.699999999999999
421,Pneime,3,1709.0,4.659690045492798,4.566666666666666
422,Bonlavie,1,397.0,4.659628934187978,4.7
423,CUFTS,22,2295.0,4.659572337375984,4.745454545454546
424,Funkillee,1,114.0,4.659455242349072,4.8
425,MDFAYE,1,114.0,4.659455242349072,4.8
426,YX&ST,1,392.0,4.659150604024328,4.7
427,MUERDOU ashes necklace,1,392.0,4.659150604024328,4.7
428,Funly mee,3,1198.0,4.659144142647672,4.7
429,Hipunk,9,1302.0,4.658931905257839,4.211111111111111
430,LOTUS-A,3,1265.0,4.658844616080354,4.666666666666667
431,SloveM,6,947.0,4.658491035162934,4.683333333333333
432,QIYUSHRY,2,650.0,4.658478086414101,4.65
433,Shoe Horn ProGuide,1,385.0,4.658461578068112,4.7
434,CASIRENA,3,746.0,4.658286423492537,4.7
435,JYGEM00029,1,382.0,4.658159113830743,4.7
436,Meangood,4,5399.0,4.658124474646334,4.175
437,WinTrend,19,7179.0,4.65773255437992,4.7
438,LetterCufflink_0521,1,377.0,4.657645098030137,4.7
439,Onepurposegifts,30,4846.0,4.657494291032669,4.52
440,Kimdio,3,1730.0,4.657147235106344,4.666666666666667
441,SKC,2,122.0,4.657125746719301,4.9
442,UOIFIP,2,740.0,4.656995690974074,4.7
443,Love Memory,12,4335.0,4.656904811020156,4.7
444,Jobsite,3,16519.0,4.656777077433795,4.5
445,ROLYET,1,111.0,4.656464928356499,4.8
446,Cocoluck,2,77.0,4.656406177874495,4.7
447,YUGUI-JEWELRY,8,1000.0,4.656050852184453,4.5375
448,STYLIFING,7,5582.0,4.656048082465989,4.585714285714286
449,LKERLAN,3,1610.0,4.655977136680183,3.9
450,AMBREGRISSUN,3,413.0,4.655825337120713,4.733333333333333
451,LittleBoo,2,684.0,4.655616041112435,4.65
452,CHAWIN Charms fit Pandora Bracelet March April May June July August September October,1,358.0,4.655571017779037,4.7
453,Kayco USA,1,358.0,4.655571017779037,4.7
454,Barrington,3,540.0,4.655493846725619,4.8999999999999995
455,SUMBOAT ShomerBox,1,65.0,4.655384788402804,4.9
456,ButyHome,4,3966.0,4.655370330587788,4.45
457,Rothwell,3,1801.0,4.65518726535887,4.666666666666667
458,New Age Smudges and Herbs,1,353.0,4.654991004956309,4.7
459,Readaeer,2,2214.0,4.654619211658708,4.3
460,MEUUT,1,349.0,4.6545159759848715,4.7
461,Tidy Jewels,2,698.0,4.6545159759848715,4.7
462,Skelang,1,347.0,4.654274681427762,4.7
463,Hufan,8,1913.0,4.653963760270968,4.55
464,GBYAN,3,3156.0,4.653820518432401,4.3999999999999995
465,MUATOGIML JEWELRY,22,6826.0,4.653565107302119,4.168181818181818
466,SayitBands,7,2443.0,4.653377892317951,4.385714285714285
467,HOUNDSBAY,11,8587.0,4.65274913757346,4.6454545454545455
468,Apsvo,1,334.0,4.652641634335896,4.7
469,WHOLE HOUSEWARES,2,455.0,4.652630476776208,4.800000000000001
470,The Noble Collection,31,11988.0,4.652611663706874,4.612903225806452
